year	issue	page	recipe	url
2008	Jul	129	lentil & cauliflower dahl	http://www.taste.com.au/recipes/20013/lentil+and+cauliflower+dahl
2006	Sep	143	lamb cutlets with chilli chickpeas & spinach	http://www.taste.com.au/recipes/7128/lamb+cutlets+with+chilli+chickpeas+spinach
2008	Mar	140	asparagus & leek frittata	http://www.taste.com.au/recipes/19115/asparagus+and+leek+frittata+with+roasted+tomatoes
2007	Sep	95	banana bread	http://www.taste.com.au/recipes/17901/banana+bread
2008	Mar	104	chocolate banoffee pies	http://www.taste.com.au/recipes/19111/chocolate+banoffee+pies
2007	Jul	56	apple, butterscotch & fig puddings	http://www.taste.com.au/recipes/17715/apple+butterscotch+and+fig+puddings
2006	Feb	78	fig & goat's cheese pizzas	http://www.taste.com.au/recipes/3847/fig+and+goats+cheese+pizzas+vegetarian
2007	Mar	76	Cajun steak with succotash salad	http://www.taste.com.au/recipes/16729/cajun+steak+with+succotash+salad
2008	Aug	92	steak with stroganoff sauce	http://www.taste.com.au/recipes/20204/steak+with+stroganoff+sauce
